,filename,V_flux,VNA_power,freq_r,kappa_tot,kappa_ext,amp,alpha,phi
0,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-50,6.982282877261587, 0.12532350271423226, 0.10705852207557254, 0.02904445180381512, -2.2716828635765176, 0.0
1,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-49,6.983857274100949, 0.09436396419714455, 0.08092160391947317, 0.028033807472717644, 2.8002101909067005, 0.0
2,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-48,6.983045434406171, 0.10536354440988899, 0.0904922183767554, 0.02818711781118562, -2.924128027416537, 0.0
3,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-47,6.984021436744384, 0.100811799778296, 0.08576168891597237, 0.02831213449616605, -3.098006873943227, 0.0s
4,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-46,6.984249939457407, 0.107784745243158, 0.09094615567544079, 0.028588198739313845, 3.1202545399703117, 0.0
5,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-45,6.983902907475387, 0.10657489366812617, 0.0893060016131526, 0.028566011880647117, -3.011159128316878, 0.0
6,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-44,6.984189978171901, 0.1056403150115187, 0.08837588441904909, 0.028464819694404363, 0.6080309332456593, 0.0
7,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-43,6.985480963561956, 0.09571777012261747, 0.07889543710395518, 0.028285525663174854, -0.2516044556072825, 0.0
8,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-42,6.986270668765089, 0.0905588236343883, 0.016226561349323477, 0.02786023986979201, -2.726384418748449, 0.0
9,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-41,6.987327495244559, 0.08787800787871533, 0.01706452415043831, 0.02789403074445236, 3.0880026261603484, 0.0
10,2024_08_21_CPB_c3r6_RO1_Power_4.hdf5,-56,-40,6.987794352208712, 0.09244948744159029, 0.07343035676749578, 0.028033473387954547, 2.2961931114655125, 0.0


11,2024_08_21_CPB_c3r6_RO1_Power_11.hdf5,-43,-38,  8.175006483350364, 0.09634372469732164, 0.0935227050883119, 0.019090420517822827, -0.000840922359528652, 0.0
11,2024_08_21_CPB_c3r6_RO1_Power_11.hdf5,-43,-38,  8.17091384113093, 0.14054346486208913, 0.1292045169244372, 0.020171567067657933, -0.026572841566777687, 0.0
11,2024_08_21_CPB_c3r6_RO1_Power_11.hdf5,-43,-36,  8.1930714951183, 0.13877712708689238, 0.11903528898693164, 0.022184278606631122, -0.705328198500037, 0.0
11,2024_08_21_CPB_c3r6_RO1_Power_11.hdf5,-43,-34,  8.192006284045924, 0.14630334152458385, 0.11710852739428118, 0.023323599369592763, -0.7073701797301372, 0.0
11,2024_08_21_CPB_c3r6_RO1_Power_11.hdf5,-43,-32,  8.190658424164235, 0.15293690288488557, 0.12377985209907172, 0.020077511534968232, -0.793915818818818, 0.0
11,2024_08_21_CPB_c3r6_RO1_Power_11.hdf5,-43,-30,  8.191641910374083, 0.14977506187559392, 0.10965829796227547, 0.02010679150624445, -0.8204688838601046, 0.0
11,2024_08_21_CPB_c3r6_RO1_Power_11.hdf5,-43,-28.5,8.194332280980458, 0.18393717570215273, 0.10939670959589305, 0.028327016405874584, -0.7256767763767876, 0.0
11,2024_08_21_CPB_c3r6_RO1_Power_11.hdf5,-43,-28,  8.194464687324333, 0.1914513633721143, 0.11003407256303335, 0.028987150340631408, -0.7337856481349792, 0.0